title,number_of_colours
theboneandjointcenter.com,3471
two-n.com,2125
disney.co.jp,14436
wikipedia.org,453
news.yahoo.co.jp,3402
huxiu.com,8260
cheshi.com,8988
humblebundle.com,40540
theatlantic.com,12113
microsoft.com,10747
opera.com,2758
labinthewild.org,3526
richyli.com,1618
pxtoem.com,369
javadrive.jp,1234
jiqimao.tv,21479
clamav.net,1210
bootcdn.cn,579
runoob.com,942
tensorfly.cn,16708
journaldugeek.com,14597
matetranslate.com,3729
kameisyouten.ocnk.net,4180
gingerweb.jp,16262
cp.pocky.jp,4768
aladdin-aic.com,19010
kokage-m.com,7600
steakland.jp,22587
showroomprive.com,23684
imas-cg.net,3414
filetender.com,966
hexo.io,690
yinwang.org,349
blog.yitianshijie.net,976
yatani.jp,1186
qiita.com,2588
52nlp.cn,511
guidetojapanese.org,694
olderadults.mobi,746
blog.whatsapp.com,834
lomake.fi,1266
bgmaimuna.com,5008
0dt.net,19125
web.ics.purdue.edu,484
canon-foundation.jp,21044
blog.sciencenet.cn,3708
pantone.com,18542
news.livedoor.com,2887
gmo.jp,14620
tokai-tv.com,20135
life-is-tech.com,36221
bloomberg.co.jp,7284
cerezo.jp,15827
tech.nikkeibp.co.jp,5869
jp.techcrunch.com,3280
capcom.co.jp,5538
sankei.com,6700
tech-jp.co.jp,35080
tech-camp.in,17598
hasegawa-heart.com,11216
techplay.jp,50989
cps.com.cn,10895
trafst.jp,2452
infoq.com,1824
jcr.incites.thomsonreuters.com,1174
dna.fr,5772
macg.co,16178
cvpr2018.thecvf.com,9185
chi2019.acm.org,1144
swellnet.com,17192
klex.ru,1498
theborneopost.com,11584
